Characteristic,Council,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
,,Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N),Applicants (%),Awardees (%) ,Applicants (N),Awardees (N)
Asian,UKRI (all),10,9,135,20,10,7,155,20,10,9,150,25,10,12,175,45,11,14,205,60,12,9,250,40,14,8,320,45,15,12,370,60
Black,UKRI (all),1,,10,,1,,10,,1,,15,,1,,10,,1,,25,,1,,20,,2,2,45,10,1,2,35,10
Mixed,UKRI (all),3,3,40,10,4,3,55,10,4,5,50,15,3,3,50,10,4,3,80,15,5,7,95,30,4,5,90,25,4,4,110,20
Not Disclosed,UKRI (all),7,8,95,25,5,3,70,10,5,7,70,20,5,5,85,20,6,4,110,15,6,5,125,20,6,6,135,30,5,5,125,25
Other,UKRI (all),0,,5,,1,,20,,0,,5,,0,,5,,1,,15,,1,,20,,1,,20,,1,,25,
Unknown,UKRI (all),1,,15,,1,,20,,0,,5,0,1,,10,,1,,10,,1,,20,,0,,10,,0,1,10,5
White,UKRI (all),78,77,1070,210,79,84,1235,225,79,78,1120,225,79,80,1325,305,76,77,1430,315,74,77,1500,330,73,78,1730,405,73,75,1825,375
Asian,NERC,6,,15,,6,,15,0,3,,10,,7,8,25,5,5,,10,,7,,10,0,8,,15,0,9,,15,
Black,NERC,,,,0,,,,,,,,0,,,,0,,,,,,,,0,,,,0,,,,0
Mixed,NERC,5,10,2,5,2,,5,,,,,,2,,10,0,3,,5,0,6,,10,,4,,5,,3,,5,
Not Disclosed,NERC,4,,10,,4,,10,,2,,5,,4,,15,,4,,10,0,7,,10,,4,,5,0,5,,10,25
Other,NERC,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
Unknown,NERC,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,
White,NERC,88,83,190,35,86,89,205,40,91,94,220,45,85,86,285,65,88,97,180,30,79,87,110,15,82,88,150,15,81,71,125,10
Asian,STFC,4,,5,0,8,,15,,9,,15,0,3,,10,0,5,,10,0,10,,20,,9,,15,,12,,25,
Black,STFC,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,
Mixed,STFC,,,,0,,,,0,4,,5,0,3,,5,0,3,,5,,3,,5,0,4,,5,,3,,5,0
Not Disclosed,STFC,5,,10,0,8,,15,0,5,,10,,7,,15,,6,,10,,6,,10,,5,,10,0,7,,15,
Other,STFC,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,
Unknown,STFC,,,,0,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0
White,STFC,86,94,135,15,80,81,135,15,82,85,120,15,86,90,200,25,83,86,140,20,82,80,150,10,81,79,155,10,79,86,155,10
Asian,EPSRC,10,8,30,5,10,,45,,11,8,35,5,14,10,45,5,16,20,60,25,17,14,50,5,19,10,45,5,19,13,70,10
Black,EPSRC,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,0
Mixed,EPSRC,2,,5,,3,,15,,3,,10,,,,,0,4,4,15,5,3,,10,,2,,5,,4,,15,
Not Disclosed,EPSRC,10,9,30,5,5,,20,,7,,20,,6,,20,,7,5,25,5,7,,20,,9,12,25,10,7,13,30,10
Other,EPSRC,,,,,2,,5,,,,,0,,,,0,,,,0,,,,,2,,5,,1,,5,
Unknown,EPSRC,,,,,1,,5,0,,,,0,1,,5,,,,,0,2,,5,,,,,,,,,
White,EPSRC,76,80,225,60,79,88,365,70,76,84,225,50,76,85,260,50,71,69,280,80,70,71,200,35,67,72,165,50,68,68,260,50
Asian,AHRC,,,,,,,,,,,,,,,,0,5,,10,,,,,,6,,10,,6,,5,
Black,AHRC,,,,,,,,,,,,,,,,,,,,0,,,,0,4,11,10,5,,,,
Mixed,AHRC,,,,,,,,,6,,5,,,,,,6,,10,,,,,0,6,,10,,5,,5,
Not Disclosed,AHRC,13,22,15,10,7,,10,,6,,5,,8,,10,,10,,20,,9,,15,,9,,20,,7,,10,0
Other,AHRC,,,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,,,,,0
Unknown,AHRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,AHRC,81,71,90,30,87,86,100,30,85,83,95,30,85,87,100,35,77,88,145,45,84,92,120,35,75,73,155,40,81,86,100,30
Asian,MRC,19,17,70,15,14,12,55,10,16,14,70,10,17,19,75,30,18,21,65,15,18,14,65,15,20,20,70,10,21,22,90,15
Black,MRC,1,,5,,1,,5,,2,,10,0,1,,5,0,2,,5,0,1,,5,,3,,10,0,2,,5,0
Mixed,MRC,2,,10,,5,6,20,5,3,8,15,5,4,4,20,5,4,,15,,5,6,20,5,5,,15,,5,,25,
Not Disclosed,MRC,5,,15,,3,,10,0,4,8,20,5,4,3,15,5,4,,15,0,3,,10,,2,,10,,3,,15,
Other,MRC,,,,0,2,,10,,1,,5,,,,,,2,,5,0,,,,0,2,,5,,2,,5,
Unknown,MRC,,,,,1,,5,,,,,0,,,,,,,,,,,,,,,,0,,,,
White,MRC,71,71,260,55,73,76,295,70,74,69,325,55,72,72,310,105,69,74,250,50,70,74,255,65,69,71,250,40,66,64,285,50
Asian,ESRC,,,,,,,,,,,,,,,,,10,12,10,10,8,9,10,10,6,6,10,10,13,11,35,15
Black,ESRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,
Mixed,ESRC,,,,0,,,,,17,17,5,5,,,,,,,,,11,13,15,15,7,8,10,10,3,5,10,5
Not Disclosed,ESRC,20,,5,0,,,,,,,,,,,,,10,6,10,5,5,,5,,7,8,10,10,,,,0
Other,ESRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,ESRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,ESRC,72,,20,,74,81,25,15,48,48,15,15,74,65,25,15,73,76,80,70,73,73,95,75,77,75,105,95,78,78,205,115
Asian,BBSRC,8,,15,,12,,15,0,12,,15,,8,,15,,8,,10,,10,,10,0,17,,20,,19,,30,
Black,BBSRC,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,
Mixed,BBSRC,3,,5,0,7,,10,0,3,,5,0,4,,10,0,,,,0,,,,0,5,,5,0,5,,5,
Not Disclosed,BBSRC,5,,10,,3,,5,0,,,,0,4,,10,0,8,,10,,5,,5,0,,,,0,6,,10,
Other,BBSRC,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0
Unknown,BBSRC,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,
White,BBSRC,81,76,150,15,76,100,110,15,82,83,120,15,81,80,145,10,81,67,100,10,76,100,75,15,73,,85,,65,77,100,20
